IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PER,Peru,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,,,,,,,,,,,,,1089,,,,,,1089,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,,,,,,,,,,,,,40175,,,,,,40 175,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2021,true,,,,,,,,,,,,,41616,,,,,,41 616,,Source: AU CHW survey. Includes Agents Communautaires,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2021,true,,,,,,,,,,,,,6690,,,,,,6690,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,7329,,,,,,7329,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,,,,,,,,,,,,,7500,,,,,,7500,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,,,,,,,,,,,,,7912,,,,,,7912,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,8077,,,,,,8077,,les informations varient d'un service -  un autre donc les donnees saisies ont ete supprimees.,EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,true,,,,,,,,,,,,,86490,,,,,,86 490,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2020,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,IND,India,Year,2020,true,,,,,,,,,,,,,1097609,,,,,,1 097 609,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2020,true,,,,,,,,,,,,,1061,,,,,,1061,,"Source: AU CHW survey. (198 (PACT Project initiative en 2021) + 863 (SAMU-OR en 2017)) Includes agents de sante communautaire, personne relais communautaire, agent de developpement communautaire, volontaire communautaire",EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2020,true,,,,,,,,,,,,,11,,,,,,11,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,BDI,Burundi,Year,2020,true,,,,,,,,,,,,,11845,,,,,,11 845,,"Source: AU CHW survey. Includes agents de sante communautaires, abaremeshakiyago",EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GAB,Gabon,Year,2020,true,,,,,,,,,,,,,110,,,,,,110,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,LBR,Liberia,Year,2020,true,,,,,,,,,,,,,12625,,,,,,12 625,,"Source: AU CHW survey. Includes 365 community health services supervisors (CHSSs), 3760 community health assistants (CHAs), 5000 community health volunteers (CHVs) and 3500 trained traditional midwives (TTMs).",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,,,,,,,,,,,,,13966,,,,,,13 966,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,,,,,,,,,,,,,148713,,,,,,148 713,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,,,,,,,,,,,,,1535,,,,,,1535,,"Source: AU CHW survey. Includes Community Health Worker(PHC), female health worker at community level (house-hold)",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,true,,,,,,,,,,,,,154,,,,,,154,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2020,true,,,,,,,,,,,,,163,,,,,,163,,"Source: AU CHW survey. Includes Community Health Care officer, Community Based Rehabilitation Officer, Motivator (COmmunity Health ), Community Health Development Officer, senior community health officer, community health rehabilitation officer, principal",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GMB,Gambia,Year,2020,true,,,,,,,,,,,,,2080,,,,,,2080,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NER,Niger,Year,2020,true,,,,,,,,,,,,,21429,,,,,,21 429,,"Source: AU CHW survey. Includes Relais Communautaires, community mediator, peer educator, community facilitator",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NAM,Namibia,Year,2020,true,,,,,,,,,,,,,2100,,,,,,2100,,"Source: AU CHW survey. Includes health extension workers, community health workers, community health care providers, community health volunteers",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,true,,,,,,,,,,,,,224,,,,,,224,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2020,true,,,,,,,,,,,,,225,,,,,,225,,Personal tecnico no universitario registrado durante los -ltimos 10 anos -TSR-. Departamento de Formacion de Recursos Humanos. Ministerio de Salud P-blica y Asistencia Social.,EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,AGO,Angola,Year,2020,true,,,,,,,,,,,,,2652,,,,,,2652,,Source: AU CHW survey. Includes agentes de desenvolvimento comunitario e sanitario/agent de devellopeent communautaire et sanitaire,EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2020,true,,,,,,,,,,,,,300,,,,,,300,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MLI,Mali,Year,2020,true,,,,,,,,,,,,,3303,,,,,,3303,,Source: AU CHW survey. Includes Soins Essentiels dans la Communaute (SEC),EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2020,false,,,,,,,,,,,,,3711,,,,,,3711,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2020,false,,,,,,,,,,,,,41616,,,,,,41 616,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2020,true,,,,,,,,,,,,,41669,,,,,,41 669,,Source: AU CHW survey. Includes 1669 community health assistants (formal) and an estimated 40000 community based volunteers (informal)  Source: National Community Health Strategy (2019-2021) https://chwcentral.org/wp-content/uploads/2021/04/Zambia_Natl_C,EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2020,true,,,,,,,,,,,,,42630,,,,,,42 630,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,true,,,,,,,,,,,,,4450,,,,,,4450,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,false,,,,,,,,,,,,,45709,,,,,,45 709,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2020,true,,,,,,,,,,,,,51,,,,,,51,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,,,,,,,,,,,,,51240,,,,,,51 240,,"Source: Data for female community health volunteers from Nepal Country Profile, UNICEF ROSA CHW evaluation. https://www.unicef.org/rosa/documents/formative-evaluation-community-health-workers-policies-and-programmes",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,true,,,,,,,,,,,,,5386,,,,,,5386,,"Source: AU CHW survey. Includes Community health workers, rural health mothers, community mentor mothers, community expert client, home visitors, mentors, active tuberculosis case finders, home based care givers, community service providers for gender bas",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,true,,,,,,,,,,,,,58567,,,,,,58 567,,"Source: AU CHW survey. Includes Maternal and newborn health in charge, binomes (under5 treatment), health promotor",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2020,false,,,,,,,,,,,,,592,,,,,,592,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2020,true,,,,,,,,,,,,,6000,,,,,,6000,,"Source: AU CHW survey. Estimated value. Includes Barefoot Doctors, community IMNCI providers, community-based therapeutic feeding agents, malaria agents, maternal health agents, tb promotors, WASH promotors, peer coordinators, peer facilitators, health pr",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2020,true,,,,,,,,,,,,,6508,,,,,,6508,,Source: AU CHW survey. Includes Boma health workers.,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2020,false,,,,,,,,,,,,,6696,,,,,,6696,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2020,false,,,,,,,,,,,,,7386,,,,,,7386,,"Source: AU CHW survey. Includes volontaire, mediateurs communautaires, distributeurs communautaires",EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PAN,Panama,Year,2020,true,,,,,,,,,,,,,816,,,,,,816,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,91653,,,,,,91 653,,Source: Kenya National Community Health Strategy 2020-25. Includes 3250 community health assistants and community health officers and 88403 community health volunteers,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,,,,,,,,,,,,,1116,,,,,,1116,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,false,,,,,,,,,,,,,116454,,,,,,116 454,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,false,,,,,,,,,,,,,117,,,,,,117,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,false,,,,,,,,,,,,,118145,,,,,,118 145,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,false,,,,,,,,,,,,,150,,,,,,150,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,true,,,,,,,,,,,,,179000,,,,,,179 000,,Source: Ministry of Health (2019). Community Health Roadmap. https://static1.squarespace.com/static/5bb6ac499d4149304f7ef3f5/t/5d8a5a9db47a190fe2846791/1569348261208/Uganda+CH+Roadmap_Updated+20+September_FINAL.pdf,EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,,,,,,,,,,,,,18009,,,,,,18 009,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2019,false,,,,,,,,,,,,,1846,,,,,,1846,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2019,false,,,,,,,,,,,,,1877,,,,,,1877,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,false,,,,,,,,,,,,,215,,,,,,215,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,true,,,,,,,,,,,,,228,,,,,,228,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,true,,,,,,,,,,,,,248584,,,,,,248 584,,"Source:  Field Health Services Information Systems (FHSIS), 2018    Definition:  Barangay Health Workers  Based on the Republic Act No. 7883, known as the Barangay Health Workers Benefits and Incentives Act of 1995, a barangay health worker refers to a",EN,2023-01-12T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PAN,Panama,Year,2019,false,,,,,,,,,,,,,272,,,,,,272,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,,,,,,,,,,,,,2726,,,,,,2726,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,BRA,Brazil,Year,2019,true,,,,,,,,,,,,,281207,,,,,,281 207,,Brazilian Classification of Ocupation:   5151-05    The professioanls doesn't reccieve a technical training.   Source; MOH/CNES,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,,,,,,,,,,,,,2979,,,,,,2979,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,,,,,,,,,,,,,34,,,,,,34,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,false,,,,,,,,,,,,,38338,,,,,,38 338,,Source: AU CHW survey. Includes Agents Communautaires. Estimated value.,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,,,,,,,,,,,,,39928,,,,,,39 928,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2019,false,,,,,,,,,,,,,4532,,,,,,4532,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,false,,,,,,,,,,,,,50166,,,,,,50 166,,"Source: Data for female community health volunteers from Nepal Country Profile, UNICEF ROSA CHW evaluation. https://www.unicef.org/rosa/documents/formative-evaluation-community-health-workers-policies-and-programmes",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,true,,,,,,,,,,,,,5335,,,,,,5335,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,false,,,,,,,,,,,,,54704,,,,,,54 704,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,false,,,,,,,,,,,,,6632,,,,,,6632,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2019,true,,,,,,,,,,,,,75,,,,,,75,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,false,,,,,,,,,,,,,99,,,,,,99,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2018,false,,,,,,,,,,,,,1064434,,,,,,1 064 434,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2018,false,,,,,,,,,,,,,10016,,,,,,10 016,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2018,false,,,,,,,,,,,,,100,,,,,,100,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,BDI,Burundi,Year,2018,false,,,,,,,,,,,,,11845,,,,,,11 845,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2018,true,,,,,,,,,,,,,1106,,,,,,1106,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2018,true,,,,,,,,,,,,,115,,,,,,115,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2018,true,,,,,,,,,,,,,1150,,,,,,1150,,"Source: Data for village health workers from Bhutan Country Profile, UNICEF ROSA CHW evaluation. https://www.unicef.org/rosa/documents/formative-evaluation-community-health-workers-policies-and-programmes",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MLI,Mali,Year,2018,false,,,,,,,,,,,,,1152,,,,,,1152,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2018,false,,,,,,,,,,,,,116454,,,,,,116 454,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2018,true,,,,,,,,,,,,,117,,,,,,117,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2018,false,,,,,,,,,,,,,1283,,,,,,1283,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2018,true,,,,,,,,,,,,,14508,,,,,,14 508,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2018,true,,,,,,,,,,,,,14556,,,,,,14 556,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2018,false,,,,,,,,,,,,,1455,,,,,,1455,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GHA,Ghana,Year,2018,true,,,,,,,,,,,,,15820,,,,,,15 820,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2018,true,,,,,,,,,,,,,15888,,,,,,15 888,,Source : HRH Country Profile 2013-2018,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,false,,,,,,,,,,,,,1553,,,,,,1553,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GIN,Guinea,Year,2018,true,,,,,,,,,,,,,16567,,,,,,16 567,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AMR,Americas,Country,PAN,Panama,Year,2018,false,,,,,,,,,,,,,160,,,,,,160,,,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,AGO,Angola,Year,2018,false,,,,,,,,,,,,,1680,,,,,,1680,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,SEN,Senegal,Year,2018,false,,,,,,,,,,,,,17417,,,,,,17 417,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2018,false,,,,,,,,,,,,,180,,,,,,180,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,NAM,Namibia,Year,2018,false,,,,,,,,,,,,,2292,,,,,,2292,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2018,false,,,,,,,,,,,,,243,,,,,,243,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2018,true,,,,,,,,,,,,,29581,,,,,,29 581,,Estimated total from sum of CHW stock from all the subnational units. Source: Afghanistan HRH Country Profile. Section A2 Provincial Profile.,EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,LBR,Liberia,Year,2018,false,,,,,,,,,,,,,3391,,,,,,3391,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2018,false,,,,,,,,,,,,,35000,,,,,,35 000,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,,,,,,,,,,,,,37259,,,,,,37 259,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
HWF_0024,Community Health Workers (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2018,false,,,,,,,,,,,,,4057,,,,,,4057,,"Source:The state of the health workforce in the WHO African Region, 2021 report",EN,2023-01-11T16:00:00.000Z
