Period,Indicator,doctor_population
2021,Medical doctors (number),89533.0
2020,Medical doctors (number),84306.0
2019,Medical doctors (number),81157.0
2018,Medical doctors (number),76079.0
2017,Medical doctors (number),71407.0
2010,Medical doctors (number),119497.0
2009,Medical doctors (number),116734.0
2008,Medical doctors (number),114159.0
2007,Medical doctors (number),111233.0
2006,Medical doctors (number),108640.0
2005,Medical doctors (number),106083.0
2004,Medical doctors (number),93862.0
2003,Medical doctors (number),101786.0
2002,Medical doctors (number),90370.0
2001,Medical doctors (number),97206.0
2000,Medical doctors (number),95032.0